CustomerID,LookalikeID,SimilarityScore
C0001,C0192,0.9950654930772428
C0001,C0112,0.9925835132556565
C0001,C0184,0.9920158954051913
C0002,C0134,0.9967665122071395
C0002,C0106,0.9846616812896826
C0002,C0088,0.9622258154528182
C0003,C0052,0.9995003537135766
C0003,C0031,0.9956725547368344
C0003,C0076,0.9928093885943541
C0004,C0165,0.9961356640998944
C0004,C0155,0.9936957898073451
C0004,C0169,0.9893160234712348
C0005,C0007,0.9963282373338538
C0005,C0186,0.9663962553043383
C0005,C0140,0.9654349352406035
C0006,C0187,0.985982170812273
C0006,C0126,0.978826894492733
C0006,C0085,0.9775144164146607
C0007,C0005,0.9963282373338538
C0007,C0140,0.9720693131213736
C0007,C0045,0.9643309324329343
C0008,C0065,0.9744079080550692
C0008,C0059,0.9667429044403579
C0008,C0189,0.9654209690115242
C0009,C0010,0.9882476806334515
C0009,C0062,0.9851351517108302
C0009,C0061,0.9774499068262906
C0010,C0062,0.997062628185766
C0010,C0103,0.9935736547098485
C0010,C0061,0.988932501704923
C0011,C0174,0.9947597404154237
C0011,C0169,0.9937017502271451
C0011,C0153,0.9914045344532938
C0012,C0195,0.9966839652821405
C0012,C0003,0.9755436323615284
C0012,C0052,0.9720553691367116
C0013,C0099,0.9729425174037193
C0013,C0129,0.9618386060506218
C0013,C0107,0.9548109509162084
C0014,C0172,0.9484881476511068
C0014,C0164,0.9316980066716901
C0014,C0124,0.9097172640791491
C0015,C0036,0.9781577653338146
C0015,C0094,0.9696762915924096
C0015,C0125,0.9644651198757039
C0016,C0183,0.9999393624008248
C0016,C0067,0.9931120462745734
C0016,C0030,0.9908511124248643
C0017,C0075,0.9917369358272392
C0017,C0081,0.9910961254948142
C0017,C0041,0.9849057399821961
C0018,C0117,0.9954752645719411
C0018,C0046,0.9870353737718247
C0018,C0036,0.9621486161780392
C0019,C0121,0.9828773085376434
C0019,C0132,0.9694046344245674
C0019,C0135,0.9644869186508952
C0020,C0050,0.9850925726060726
C0020,C0026,0.9747935389287692
C0020,C0035,0.9694293289327991
